Vendor,"GRAPHTEC Corporation"
Model,"GL840"
Version,"Ver1.31  "
MaxChannel,20
GSStartCH,20
WLStartCH,20
MaxLogicChannel,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,100ms
Total data points,6079      
Trigger,0         
Start time,2026-02-27,13:07:35
End time,2026-02-27,13:17:43
Trigger time,2026-02-27,13:07:35
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1,"Z1","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],0,13,23,0
CH2,"Z2","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],28,5,6,0
CH3,"Z3","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],9,22,8,0
CH4,"IC6","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],21,0,21,0
CH5,"L6","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],28,16,2,0
CH6,"T19","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],5,23,30,0
CH10,"CH10","M",DC,5V,,Off,+2.500,-2.500,[V],19,27,0,0
CH11,"CH11","M",DC,1-5V,,Off,+5.000,+1.000,[V],28,5,6,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH10,CH11,Alarm1-10,Alarm11-20,AlarmOut
        96,2026/02/27 13:07:44,500,+ 35.50,+ 24.15,+ 24.05,+ 24.60,+ 24.25,+ 24.10,+ 2.344,+ 1.100,LLLLLLLLLL,LLLLLLLLLL,LLLL
        97,2026/02/27 13:07:44,600,+ 35.65,+ 24.20,+ 24.00,+ 24.60,+ 24.20,+ 24.15,+ 2.342,+ 1.100,LLLLLLLLLL,LLLLLLLLLL,LLLL
        98,2026/02/27 13:07:44,700,+ 35.80,+ 24.25,+ 23.95,+ 24.60,+ 24.20,+ 24.10,+ 2.342,+ 1.099,LLLLLLLLLL,LLLLLLLLLL,LLLL
        99,2026/02/27 13:07:44,800,+ 35.95,+ 24.20,+ 24.00,+ 24.60,+ 24.25,+ 24.10,+ 2.340,+ 1.099,LLLLLLLLLL,LLLLLLLLLL,LLLL
       100,2026/02/27 13:07:44,900,+ 36.10,+ 24.20,+ 24.05,+ 24.65,+ 24.25,+ 24.10,+ 2.339,+ 1.097,LLLLLLLLLL,LLLLLLLLLL,LLLL
       101,2026/02/27 13:07:45,  0,+ 36.25,+ 24.20,+ 23.90,+ 24.60,+ 24.20,+ 24.05,+ 2.339,+ 1.097,LLLLLLLLLL,LLLLLLLLLL,LLLL
       102,2026/02/27 13:07:45,100,+ 36.30,+ 24.20,+ 23.95,+ 24.60,+ 24.20,+ 24.10,+ 2.337,+ 1.096,LLLLLLLLLL,LLLLLLLLLL,LLLL
       103,2026/02/27 13:07:45,200,+ 36.45,+ 24.20,+ 23.95,+ 24.65,+ 24.20,+ 24.05,+ 2.336,+ 1.096,LLLLLLLLLL,LLLLLLLLLL,LLLL
       104,2026/02/27 13:07:45,300,+ 36.60,+ 24.20,+ 23.95,+ 24.65,+ 24.25,+ 24.10,+ 2.335,+ 1.096,LLLLLLLLLL,LLLLLLLLLL,LLLL
       105,2026/02/27 13:07:45,400,+ 36.75,+ 24.20,+ 23.95,+ 24.70,+ 24.25,+ 24.05,+ 2.333,+ 1.096,LLLLLLLLLL,LLLLLLLLLL,LLLL
