Vendor,"GRAPHTEC Corporation"
Model,"GL840"
Version,"Ver1.31  "
MaxChannel,20
GSStartCH,20
WLStartCH,20
MaxLogicChannel,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,100ms
Total data points,6079      
Trigger,0         
Start time,2026-02-27,13:07:35
End time,2026-02-27,13:17:43
Trigger time,2026-02-27,13:07:35
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1,"Z1","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],0,13,23,0
CH2,"Z2","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],28,5,6,0
CH3,"Z3","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],9,22,8,0
CH4,"IC6","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],21,0,21,0
CH5,"L6","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],28,16,2,0
CH6,"T19","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],5,23,30,0
CH10,"CH10","M",DC,5V,,Off,+2.500,-2.500,[V],19,27,0,0
CH11,"CH11","M",DC,1-5V,,Off,+5.000,+1.000,[V],28,5,6,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH10,CH11,Alarm1-10,Alarm11-20,AlarmOut
      2669,2026/02/27 13:12:01,800,+ 59.40,+ 39.85,+ 37.80,+ 40.30,+ 38.55,+ 37.05,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2670,2026/02/27 13:12:01,900,+ 59.35,+ 39.85,+ 37.80,+ 40.30,+ 38.50,+ 37.05,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2671,2026/02/27 13:12:02,  0,+ 59.35,+ 39.85,+ 37.80,+ 40.30,+ 38.55,+ 37.05,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2672,2026/02/27 13:12:02,100,+ 59.40,+ 39.85,+ 37.80,+ 40.30,+ 38.50,+ 37.05,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2673,2026/02/27 13:12:02,200,+ 59.40,+ 39.85,+ 37.85,+ 40.30,+ 38.55,+ 37.10,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2674,2026/02/27 13:12:02,300,+ 59.40,+ 39.85,+ 37.85,+ 40.30,+ 38.55,+ 37.10,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2675,2026/02/27 13:12:02,400,+ 59.40,+ 39.90,+ 37.80,+ 40.30,+ 38.55,+ 37.10,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2676,2026/02/27 13:12:02,500,+ 59.40,+ 39.85,+ 37.80,+ 40.30,+ 38.55,+ 37.05,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2677,2026/02/27 13:12:02,600,+ 59.40,+ 39.85,+ 37.80,+ 40.35,+ 38.55,+ 37.10,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2678,2026/02/27 13:12:02,700,+ 59.45,+ 39.90,+ 37.90,+ 40.30,+ 38.55,+ 37.15,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2679,2026/02/27 13:12:02,800,+ 59.40,+ 39.85,+ 37.85,+ 40.30,+ 38.55,+ 37.15,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2680,2026/02/27 13:12:02,900,+ 59.40,+ 39.90,+ 37.90,+ 40.35,+ 38.55,+ 37.05,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2681,2026/02/27 13:12:03,  0,+ 59.40,+ 39.85,+ 37.90,+ 40.35,+ 38.55,+ 37.10,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2682,2026/02/27 13:12:03,100,+ 59.45,+ 39.90,+ 37.85,+ 40.35,+ 38.55,+ 37.15,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2683,2026/02/27 13:12:03,200,+ 59.45,+ 39.90,+ 37.90,+ 40.35,+ 38.55,+ 37.10,+ 1.856,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2684,2026/02/27 13:12:03,300,+ 59.50,+ 39.90,+ 37.90,+ 40.35,+ 38.60,+ 37.15,+ 1.856,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2685,2026/02/27 13:12:03,400,+ 59.50,+ 39.90,+ 37.90,+ 40.35,+ 38.60,+ 37.20,+ 1.857,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2686,2026/02/27 13:12:03,500,+ 59.45,+ 39.90,+ 37.90,+ 40.35,+ 38.55,+ 37.15,+ 1.856,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2687,2026/02/27 13:12:03,600,+ 59.45,+ 39.90,+ 37.90,+ 40.35,+ 38.55,+ 37.15,+ 1.857,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2688,2026/02/27 13:12:03,700,+ 59.50,+ 39.90,+ 37.95,+ 40.35,+ 38.55,+ 37.20,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2689,2026/02/27 13:12:03,800,+ 59.50,+ 39.90,+ 37.95,+ 40.35,+ 38.55,+ 37.20,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2690,2026/02/27 13:12:03,900,+ 59.45,+ 39.90,+ 37.95,+ 40.35,+ 38.60,+ 37.15,+ 1.857,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2691,2026/02/27 13:12:04,  0,+ 59.45,+ 39.90,+ 37.95,+ 40.35,+ 38.60,+ 37.15,+ 1.857,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2692,2026/02/27 13:12:04,100,+ 59.55,+ 39.95,+ 37.90,+ 40.35,+ 38.60,+ 37.25,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2693,2026/02/27 13:12:04,200,+ 59.50,+ 39.90,+ 37.90,+ 40.35,+ 38.55,+ 37.20,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2694,2026/02/27 13:12:04,300,+ 59.45,+ 39.90,+ 37.90,+ 40.35,+ 38.55,+ 37.15,+ 1.857,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2695,2026/02/27 13:12:04,400,+ 59.40,+ 39.90,+ 37.90,+ 40.35,+ 38.55,+ 37.15,+ 1.857,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2696,2026/02/27 13:12:04,500,+ 59.50,+ 39.85,+ 37.95,+ 40.35,+ 38.55,+ 37.20,+ 1.858,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2697,2026/02/27 13:12:04,600,+ 59.50,+ 39.85,+ 37.90,+ 40.35,+ 38.55,+ 37.20,+ 1.858,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2698,2026/02/27 13:12:04,700,+ 59.45,+ 39.90,+ 37.90,+ 40.35,+ 38.55,+ 37.10,+ 1.859,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2699,2026/02/27 13:12:04,800,+ 59.45,+ 39.90,+ 37.95,+ 40.35,+ 38.55,+ 37.15,+ 1.858,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2700,2026/02/27 13:12:04,900,+ 59.45,+ 39.90,+ 37.95,+ 40.35,+ 38.55,+ 37.15,+ 1.859,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2701,2026/02/27 13:12:05,  0,+ 59.45,+ 39.90,+ 37.95,+ 40.35,+ 38.55,+ 37.20,+ 1.859,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2702,2026/02/27 13:12:05,100,+ 59.50,+ 39.90,+ 37.95,+ 40.35,+ 38.55,+ 37.20,+ 1.859,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2703,2026/02/27 13:12:05,200,+ 59.55,+ 39.90,+ 37.95,+ 40.35,+ 38.55,+ 37.20,+ 1.859,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2704,2026/02/27 13:12:05,300,+ 59.45,+ 39.90,+ 37.95,+ 40.35,+ 38.55,+ 37.15,+ 1.859,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2705,2026/02/27 13:12:05,400,+ 59.50,+ 39.90,+ 37.95,+ 40.35,+ 38.60,+ 37.15,+ 1.860,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2706,2026/02/27 13:12:05,500,+ 59.50,+ 39.95,+ 37.95,+ 40.35,+ 38.55,+ 37.15,+ 1.860,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2707,2026/02/27 13:12:05,600,+ 59.50,+ 39.95,+ 37.95,+ 40.35,+ 38.60,+ 37.20,+ 1.860,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2708,2026/02/27 13:12:05,700,+ 59.50,+ 39.95,+ 37.95,+ 40.40,+ 38.60,+ 37.20,+ 1.860,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2709,2026/02/27 13:12:05,800,+ 59.50,+ 39.90,+ 37.95,+ 40.40,+ 38.60,+ 37.15,+ 1.860,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2710,2026/02/27 13:12:05,900,+ 59.50,+ 39.95,+ 37.95,+ 40.40,+ 38.60,+ 37.20,+ 1.861,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2711,2026/02/27 13:12:06,  0,+ 59.50,+ 39.95,+ 37.95,+ 40.45,+ 38.60,+ 37.20,+ 1.861,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2712,2026/02/27 13:12:06,100,+ 59.55,+ 39.95,+ 37.95,+ 40.40,+ 38.65,+ 37.20,+ 1.861,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2713,2026/02/27 13:12:06,200,+ 59.50,+ 39.95,+ 37.95,+ 40.45,+ 38.60,+ 37.20,+ 1.862,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2714,2026/02/27 13:12:06,300,+ 59.55,+ 40.00,+ 38.00,+ 40.40,+ 38.60,+ 37.20,+ 1.862,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2715,2026/02/27 13:12:06,400,+ 59.50,+ 39.95,+ 38.00,+ 40.40,+ 38.60,+ 37.20,+ 1.863,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2716,2026/02/27 13:12:06,500,+ 59.55,+ 39.95,+ 37.95,+ 40.45,+ 38.60,+ 37.25,+ 1.863,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2717,2026/02/27 13:12:06,600,+ 59.55,+ 40.00,+ 37.95,+ 40.45,+ 38.65,+ 37.20,+ 1.863,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2718,2026/02/27 13:12:06,700,+ 59.55,+ 39.95,+ 38.00,+ 40.45,+ 38.60,+ 37.20,+ 1.863,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2719,2026/02/27 13:12:06,800,+ 59.55,+ 40.00,+ 37.95,+ 40.45,+ 38.65,+ 37.25,+ 1.864,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2720,2026/02/27 13:12:06,900,+ 59.55,+ 40.00,+ 38.00,+ 40.50,+ 38.65,+ 37.25,+ 1.864,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2721,2026/02/27 13:12:07,  0,+ 59.60,+ 39.95,+ 38.05,+ 40.45,+ 38.65,+ 37.25,+ 1.864,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2722,2026/02/27 13:12:07,100,+ 59.60,+ 39.95,+ 38.05,+ 40.45,+ 38.65,+ 37.25,+ 1.865,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2723,2026/02/27 13:12:07,200,+ 59.60,+ 40.00,+ 38.00,+ 40.55,+ 38.65,+ 37.30,+ 1.865,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2724,2026/02/27 13:12:07,300,+ 59.60,+ 40.00,+ 38.00,+ 40.50,+ 38.65,+ 37.30,+ 1.866,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2725,2026/02/27 13:12:07,400,+ 59.65,+ 40.05,+ 38.05,+ 40.55,+ 38.65,+ 37.30,+ 1.866,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2726,2026/02/27 13:12:07,500,+ 59.65,+ 40.05,+ 38.05,+ 40.55,+ 38.65,+ 37.35,+ 1.866,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2727,2026/02/27 13:12:07,600,+ 59.65,+ 40.05,+ 38.05,+ 40.55,+ 38.70,+ 37.30,+ 1.867,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2728,2026/02/27 13:12:07,700,+ 59.65,+ 40.05,+ 38.05,+ 40.55,+ 38.65,+ 37.30,+ 1.867,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2729,2026/02/27 13:12:07,800,+ 59.65,+ 40.05,+ 38.05,+ 40.60,+ 38.70,+ 37.35,+ 1.868,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2730,2026/02/27 13:12:07,900,+ 59.65,+ 40.05,+ 38.05,+ 40.60,+ 38.75,+ 37.35,+ 1.867,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2731,2026/02/27 13:12:08,  0,+ 59.65,+ 40.10,+ 38.05,+ 40.60,+ 38.70,+ 37.35,+ 1.868,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2732,2026/02/27 13:12:08,100,+ 59.65,+ 40.10,+ 38.05,+ 40.60,+ 38.70,+ 37.35,+ 1.868,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2733,2026/02/27 13:12:08,200,+ 59.65,+ 40.05,+ 38.05,+ 40.60,+ 38.70,+ 37.35,+ 1.868,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2734,2026/02/27 13:12:08,300,+ 59.65,+ 40.05,+ 38.10,+ 40.60,+ 38.70,+ 37.35,+ 1.869,+ 0.964,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2735,2026/02/27 13:12:08,400,+ 59.65,+ 40.00,+ 38.10,+ 40.60,+ 38.70,+ 37.35,+ 1.869,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2736,2026/02/27 13:12:08,500,+ 59.65,+ 40.10,+ 38.05,+ 40.60,+ 38.70,+ 37.35,+ 1.869,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2737,2026/02/27 13:12:08,600,+ 59.65,+ 40.10,+ 38.05,+ 40.60,+ 38.70,+ 37.35,+ 1.869,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2738,2026/02/27 13:12:08,700,+ 59.65,+ 40.05,+ 38.10,+ 40.60,+ 38.70,+ 37.35,+ 1.868,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2739,2026/02/27 13:12:08,800,+ 59.70,+ 40.05,+ 38.10,+ 40.60,+ 38.75,+ 37.35,+ 1.869,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2740,2026/02/27 13:12:08,900,+ 59.65,+ 40.10,+ 38.05,+ 40.60,+ 38.75,+ 37.35,+ 1.870,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2741,2026/02/27 13:12:09,  0,+ 59.70,+ 40.05,+ 38.05,+ 40.60,+ 38.70,+ 37.35,+ 1.868,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2742,2026/02/27 13:12:09,100,+ 59.70,+ 40.10,+ 38.10,+ 40.60,+ 38.75,+ 37.40,+ 1.870,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2743,2026/02/27 13:12:09,200,+ 59.70,+ 40.05,+ 38.10,+ 40.60,+ 38.75,+ 37.35,+ 1.870,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2744,2026/02/27 13:12:09,300,+ 59.65,+ 40.05,+ 38.10,+ 40.60,+ 38.75,+ 37.35,+ 1.870,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2745,2026/02/27 13:12:09,400,+ 59.70,+ 40.05,+ 38.10,+ 40.60,+ 38.75,+ 37.40,+ 1.871,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2746,2026/02/27 13:12:09,500,+ 59.70,+ 40.10,+ 38.10,+ 40.60,+ 38.75,+ 37.40,+ 1.871,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2747,2026/02/27 13:12:09,600,+ 59.70,+ 40.10,+ 38.10,+ 40.60,+ 38.75,+ 37.40,+ 1.871,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2748,2026/02/27 13:12:09,700,+ 59.75,+ 40.15,+ 38.10,+ 40.60,+ 38.80,+ 37.40,+ 1.871,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2749,2026/02/27 13:12:09,800,+ 59.75,+ 40.15,+ 38.15,+ 40.60,+ 38.80,+ 37.40,+ 1.871,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2750,2026/02/27 13:12:09,900,+ 59.75,+ 40.05,+ 38.15,+ 40.60,+ 38.75,+ 37.40,+ 1.871,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2751,2026/02/27 13:12:10,  0,+ 59.75,+ 40.10,+ 38.10,+ 40.60,+ 38.80,+ 37.40,+ 1.871,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2752,2026/02/27 13:12:10,100,+ 59.70,+ 40.05,+ 38.10,+ 40.60,+ 38.80,+ 37.45,+ 1.871,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2753,2026/02/27 13:12:10,200,+ 59.75,+ 40.05,+ 38.10,+ 40.60,+ 38.80,+ 37.45,+ 1.871,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2754,2026/02/27 13:12:10,300,+ 59.80,+ 40.05,+ 38.10,+ 40.60,+ 38.80,+ 37.45,+ 1.871,+ 0.963,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2755,2026/02/27 13:12:10,400,+ 59.75,+ 40.10,+ 38.10,+ 40.60,+ 38.80,+ 37.50,+ 1.871,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2756,2026/02/27 13:12:10,500,+ 59.80,+ 40.10,+ 38.15,+ 40.60,+ 38.85,+ 37.45,+ 1.871,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2757,2026/02/27 13:12:10,600,+ 59.75,+ 40.10,+ 38.15,+ 40.65,+ 38.80,+ 37.45,+ 1.871,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2758,2026/02/27 13:12:10,700,+ 59.80,+ 40.10,+ 38.15,+ 40.65,+ 38.80,+ 37.50,+ 1.868,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2759,2026/02/27 13:12:10,800,+ 59.75,+ 40.10,+ 38.15,+ 40.65,+ 38.85,+ 37.50,+ 1.870,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2760,2026/02/27 13:12:10,900,+ 59.80,+ 40.10,+ 38.15,+ 40.65,+ 38.80,+ 37.50,+ 1.870,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2761,2026/02/27 13:12:11,  0,+ 59.80,+ 40.10,+ 38.10,+ 40.60,+ 38.85,+ 37.50,+ 1.867,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2762,2026/02/27 13:12:11,100,+ 59.80,+ 40.15,+ 38.15,+ 40.65,+ 38.85,+ 37.50,+ 1.869,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2763,2026/02/27 13:12:11,200,+ 59.85,+ 40.15,+ 38.10,+ 40.60,+ 38.85,+ 37.50,+ 1.869,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2764,2026/02/27 13:12:11,300,+ 59.85,+ 40.10,+ 38.15,+ 40.65,+ 38.85,+ 37.50,+ 1.869,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2765,2026/02/27 13:12:11,400,+ 59.85,+ 40.15,+ 38.15,+ 40.60,+ 38.80,+ 37.50,+ 1.868,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2766,2026/02/27 13:12:11,500,+ 59.85,+ 40.15,+ 38.15,+ 40.65,+ 38.85,+ 37.55,+ 1.868,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2767,2026/02/27 13:12:11,600,+ 59.85,+ 40.10,+ 38.15,+ 40.70,+ 38.80,+ 37.55,+ 1.868,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2768,2026/02/27 13:12:11,700,+ 59.85,+ 40.15,+ 38.15,+ 40.65,+ 38.90,+ 37.55,+ 1.867,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2769,2026/02/27 13:12:11,800,+ 59.85,+ 40.15,+ 38.15,+ 40.70,+ 38.90,+ 37.50,+ 1.866,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2770,2026/02/27 13:12:11,900,+ 59.85,+ 40.15,+ 38.15,+ 40.70,+ 38.90,+ 37.50,+ 1.866,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2771,2026/02/27 13:12:12,  0,+ 59.85,+ 40.20,+ 38.15,+ 40.70,+ 38.85,+ 37.55,+ 1.865,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2772,2026/02/27 13:12:12,100,+ 59.85,+ 40.15,+ 38.15,+ 40.70,+ 38.85,+ 37.55,+ 1.865,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2773,2026/02/27 13:12:12,200,+ 59.85,+ 40.15,+ 38.20,+ 40.70,+ 38.90,+ 37.55,+ 1.864,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2774,2026/02/27 13:12:12,300,+ 59.90,+ 40.20,+ 38.20,+ 40.70,+ 38.90,+ 37.55,+ 1.863,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2775,2026/02/27 13:12:12,400,+ 59.90,+ 40.15,+ 38.20,+ 40.70,+ 38.90,+ 37.55,+ 1.863,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2776,2026/02/27 13:12:12,500,+ 59.90,+ 40.15,+ 38.15,+ 40.70,+ 38.90,+ 37.55,+ 1.862,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2777,2026/02/27 13:12:12,600,+ 59.90,+ 40.15,+ 38.15,+ 40.75,+ 38.85,+ 37.55,+ 1.862,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2778,2026/02/27 13:12:12,700,+ 59.95,+ 40.15,+ 38.15,+ 40.65,+ 38.85,+ 37.60,+ 1.859,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2779,2026/02/27 13:12:12,800,+ 59.90,+ 40.20,+ 38.15,+ 40.70,+ 38.85,+ 37.65,+ 1.860,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2780,2026/02/27 13:12:12,900,+ 59.95,+ 40.20,+ 38.15,+ 40.65,+ 38.85,+ 37.65,+ 1.860,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2781,2026/02/27 13:12:13,  0,+ 59.95,+ 40.20,+ 38.15,+ 40.70,+ 38.90,+ 37.60,+ 1.857,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2782,2026/02/27 13:12:13,100,+ 59.90,+ 40.25,+ 38.20,+ 40.75,+ 38.90,+ 37.60,+ 1.858,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2783,2026/02/27 13:12:13,200,+ 59.95,+ 40.20,+ 38.25,+ 40.75,+ 38.90,+ 37.60,+ 1.857,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2784,2026/02/27 13:12:13,300,+ 59.95,+ 40.20,+ 38.15,+ 40.70,+ 38.90,+ 37.65,+ 1.857,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2785,2026/02/27 13:12:13,400,+ 59.95,+ 40.25,+ 38.20,+ 40.70,+ 38.85,+ 37.65,+ 1.856,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2786,2026/02/27 13:12:13,500,+ 59.95,+ 40.25,+ 38.20,+ 40.75,+ 38.90,+ 37.65,+ 1.855,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2787,2026/02/27 13:12:13,600,+ 59.95,+ 40.20,+ 38.15,+ 40.70,+ 38.90,+ 37.65,+ 1.855,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2788,2026/02/27 13:12:13,700,+ 59.95,+ 40.30,+ 38.20,+ 40.75,+ 38.85,+ 37.65,+ 1.854,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2789,2026/02/27 13:12:13,800,+ 59.95,+ 40.25,+ 38.20,+ 40.75,+ 38.85,+ 37.65,+ 1.853,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2790,2026/02/27 13:12:13,900,+ 59.95,+ 40.25,+ 38.25,+ 40.80,+ 38.95,+ 37.65,+ 1.853,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2791,2026/02/27 13:12:14,  0,+ 59.95,+ 40.30,+ 38.25,+ 40.80,+ 38.95,+ 37.65,+ 1.852,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2792,2026/02/27 13:12:14,100,+ 59.95,+ 40.30,+ 38.25,+ 40.75,+ 38.90,+ 37.65,+ 1.851,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2793,2026/02/27 13:12:14,200,+ 59.95,+ 40.30,+ 38.20,+ 40.75,+ 38.90,+ 37.65,+ 1.850,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2794,2026/02/27 13:12:14,300,+ 59.95,+ 40.30,+ 38.20,+ 40.75,+ 38.90,+ 37.65,+ 1.850,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2795,2026/02/27 13:12:14,400,+ 59.95,+ 40.30,+ 38.20,+ 40.75,+ 38.90,+ 37.65,+ 1.850,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2796,2026/02/27 13:12:14,500,+ 59.95,+ 40.30,+ 38.25,+ 40.75,+ 38.90,+ 37.65,+ 1.849,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
      2797,2026/02/27 13:12:14,600,+ 59.95,+ 40.35,+ 38.25,+ 40.75,+ 38.90,+ 37.65,+ 1.849,+ 0.962,LLLLLLLLLL,LLLLLLLLLL,LLLL
